mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.047803306579589845,0.0011163401065760264,0.07508840560913085,0.006830064451113858,1,1,"{'n_neighbors': 1, 'p': 1}",-418.4317142504017,-391.82387838338894,-414.3066370040786,-418.15226795204546,-415.64256581386724,-411.67141268075636,10.04332857658223,52,-0.3789086639475961,-0.29455567914967246,-0.31510320108762824,-0.3039179335063651,-0.34158324063774564,-0.3268137436658015,0.030443246924826216
0.0439967155456543,0.006090888530388297,0.10087556838989258,0.008012324871864157,1,2,"{'n_neighbors': 1, 'p': 2}",-461.86725991842786,-440.2183908045977,-457.58620689655174,-461.80163144234336,-464.1965146459029,-457.1340007415647,8.722522242899776,91,-0.3789086639475961,-0.29455567914967246,-0.31510320108762824,-0.3039179335063651,-0.34158324063774564,-0.3268137436658015,0.030443246924826216
0.04062075614929199,0.007623237395415336,0.11765131950378419,0.007275508997323931,2,1,"{'n_neighbors': 2, 'p': 1}",-381.1475713756025,-367.40353479174394,-381.2655419602027,-390.830737856878,-388.55419602026944,-381.8403164009393,8.186999231192265,17,-207.90093931528858,-209.18804844889382,-207.87543257940922,-207.73941725373874,-205.03307687554073,-207.54738289457424,1.3625721376813276
0.04349913597106934,0.006361420606925801,0.13826141357421876,0.011609994045693125,2,2,"{'n_neighbors': 2, 'p': 2}",-419.888765294772,-408.03114571746386,-420.23433444568036,-430.8590409096527,-434.64905450500555,-422.7324681745149,9.364853596005805,65,-230.16975651958967,-231.61248609566184,-230.681822395254,-230.78216536892845,-227.2587597330367,-230.1009980224941,1.4945894637758708
0.037500190734863284,0.0076505138025785655,0.13448843955993653,0.012456402675849739,3,1,"{'n_neighbors': 3, 'p': 1}",-371.5135335558027,-362.2969142668809,-368.65937461376836,-380.343056070531,-376.40683063486176,-371.84394182836894,6.236205102342952,9,-256.49930993284715,-257.7722160425164,-257.17522555926337,-254.1670065504882,-255.90070242656452,-256.30289210233593,1.239533952039568
0.04059743881225586,0.00763739617629724,0.1625213146209717,0.012489528302702254,3,2,"{'n_neighbors': 3, 'p': 2}",-412.3935236682734,-401.51312157541304,-407.1022947307708,-421.91064145346684,-419.80035430313524,-412.54398714621186,7.6381113905361655,55,-285.5555761545751,-286.0810777406995,-284.16526593334163,-284.42160013183377,-283.5070139661352,-284.746106785317,0.9397254694333045
0.03749799728393555,0.007659213014132895,0.15317149162292482,0.006262319155674774,4,1,"{'n_neighbors': 4, 'p': 1}",-366.99190458534173,-359.4407057224076,-364.8109627981708,-377.7986960820665,-377.19413545915216,-369.2472809294278,7.172388114645018,4,-281.0209105796564,-281.41398621925595,-281.62886231615374,-279.34600173031765,-280.3635134717587,-280.7546548634285,0.8254869897584124
0.04376816749572754,0.006256691333367045,0.1843484878540039,0.011686906613713549,4,2,"{'n_neighbors': 4, 'p': 2}",-407.1247682610308,-399.5441539982697,-404.71644419725624,-412.6892534915338,-418.5561117290817,-408.5261463354344,6.558742931764784,46,-312.38852583117045,-312.7115081572117,-311.79709708317887,-310.44332437275983,-311.65854035347917,-311.79979915956,0.7794610431575555
0.04374566078186035,0.006253196207957026,0.15628843307495116,7.239031982931019e-05,5,1,"{'n_neighbors': 5, 'p': 1}",-368.49704610060564,-357.79616858237546,-363.1105178593499,-374.31059201582,-376.7477196885428,-368.09240884933877,6.993936522323258,1,-296.1284946236559,-296.6053207267334,-296.3376653071314,-294.91129032258067,-295.4830737856878,-295.89316895315784,0.6152038719098455
0.043769025802612306,0.0062158856746425805,0.19998159408569335,0.0062840722444767,5,2,"{'n_neighbors': 5, 'p': 2}",-400.07964404894324,-402.37411939191696,-403.4686688913608,-414.02976146335436,-418.0254356692621,-407.5955258929675,7.084700696164008,44,-329.1525027808676,-328.11627734519834,-327.3482140650105,-328.6310901001113,-327.0580150784822,-328.06121987393396,0.7789067887709104
