mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.009376764297485352,0.0076560967097427015,0.003126239776611328,0.006252479553222656,1,1,"{'max_depth': 1, 'min_samples_leaf': 1}",-1726.0041880884837,-1760.7832762384073,-1701.9095593985921,-1713.9203729881563,-1731.0360784333618,-1726.7306950294,19.793107640740413,134,-1727.778337592346,-1716.6533217106792,-1732.8976766634469,-1731.154463145978,-1724.8991754596784,-1726.6765949144258,5.720003926407018
0.0031233787536621093,0.006246757507324219,0.003125905990600586,0.006251811981201172,1,5,"{'max_depth': 1, 'min_samples_leaf': 5}",-1726.0041880884837,-1760.7832762384073,-1701.9095593985921,-1713.9203729881563,-1731.0360784333618,-1726.7306950294,19.793107640740413,134,-1727.778337592346,-1716.6533217106792,-1732.8976766634469,-1731.154463145978,-1724.8991754596784,-1726.6765949144258,5.720003926407018
0.006248998641967774,0.007653431474570066,0.0031249523162841797,0.006249904632568359,1,10,"{'max_depth': 1, 'min_samples_leaf': 10}",-1726.0041880884837,-1760.7832762384073,-1701.9095593985921,-1713.9203729881563,-1731.0360784333618,-1726.7306950294,19.793107640740413,134,-1727.778337592346,-1716.6533217106792,-1732.8976766634469,-1731.154463145978,-1724.8991754596784,-1726.6765949144258,5.720003926407018
0.006254243850708008,0.00765986690173069,0.0,0.0,1,20,"{'max_depth': 1, 'min_samples_leaf': 20}",-1726.0041880884837,-1760.7832762384073,-1701.9095593985921,-1713.9203729881563,-1731.0360784333618,-1726.7306950294,19.793107640740413,134,-1727.778337592346,-1716.6533217106792,-1732.8976766634469,-1731.154463145978,-1724.8991754596784,-1726.6765949144258,5.720003926407018
0.003125286102294922,0.006250572204589844,0.0031256675720214844,0.006251335144042969,1,35,"{'max_depth': 1, 'min_samples_leaf': 35}",-1726.0041880884837,-1760.7832762384073,-1701.9095593985921,-1713.9203729881563,-1731.0360784333618,-1726.7306950294,19.793107640740413,134,-1727.778337592346,-1716.6533217106792,-1732.8976766634469,-1731.154463145978,-1724.8991754596784,-1726.6765949144258,5.720003926407018
0.009374618530273438,0.00765434678361891,0.0,0.0,1,50,"{'max_depth': 1, 'min_samples_leaf': 50}",-1726.0041880884837,-1760.7832762384073,-1701.9095593985921,-1713.9203729881563,-1731.0360784333618,-1726.7306950294,19.793107640740413,134,-1727.778337592346,-1716.6533217106792,-1732.8976766634469,-1731.154463145978,-1724.8991754596784,-1726.6765949144258,5.720003926407018
0.010633707046508789,0.008978401528733712,0.0005794525146484375,0.0011589050292968748,1,100,"{'max_depth': 1, 'min_samples_leaf': 100}",-1726.0041880884837,-1760.7832762384073,-1701.9095593985921,-1713.9203729881563,-1731.0360784333618,-1726.7306950294,19.793107640740413,134,-1727.778337592346,-1716.6533217106792,-1732.8976766634469,-1731.154463145978,-1724.8991754596784,-1726.6765949144258,5.720003926407018
0.012482786178588867,0.0062415373090424515,0.003123044967651367,0.006246089935302734,2,1,"{'max_depth': 2, 'min_samples_leaf': 1}",-1041.3771542648915,-1066.4323315552801,-1047.0008220619675,-1029.4600261505318,-1053.1296069028913,-1047.4799881871124,12.274385725046395,127,-1048.331781427351,-1042.8768204630987,-1045.3557027466009,-1051.7255420929478,-1045.9209116380664,-1046.842151673613,2.994947879869028
0.009373331069946289,0.007653295706284386,0.0,0.0,2,5,"{'max_depth': 2, 'min_samples_leaf': 5}",-1041.3771542648915,-1066.4323315552801,-1047.0008220619675,-1029.4600261505318,-1053.1296069028913,-1047.4799881871124,12.274385725046395,127,-1048.331781427351,-1042.8768204630987,-1045.3557027466009,-1051.7255420929478,-1045.9209116380664,-1046.842151673613,2.994947879869028
0.012480735778808594,0.006240498744070398,0.0031425952911376953,0.006285190582275391,2,10,"{'max_depth': 2, 'min_samples_leaf': 10}",-1041.3771542648915,-1066.4323315552801,-1047.0008220619675,-1029.4600261505318,-1053.1296069028913,-1047.4799881871124,12.274385725046395,127,-1048.331781427351,-1042.8768204630987,-1045.3557027466009,-1051.7255420929478,-1045.9209116380664,-1046.842151673613,2.994947879869028
0.009375667572021485,0.007655201532768989,0.006252384185791016,0.007657576059370315,2,20,"{'max_depth': 2, 'min_samples_leaf': 20}",-1041.3771542648915,-1066.4323315552801,-1047.0008220619675,-1029.4600261505318,-1053.1296069028913,-1047.4799881871124,12.274385725046395,127,-1048.331781427351,-1042.8768204630987,-1045.3557027466009,-1051.7255420929478,-1045.9209116380664,-1046.842151673613,2.994947879869028
0.015622949600219727,6.38808046889114e-05,0.0,0.0,2,35,"{'max_depth': 2, 'min_samples_leaf': 35}",-1041.3771542648915,-1066.4323315552801,-1047.0008220619675,-1029.4600261505318,-1053.1296069028913,-1047.4799881871124,12.274385725046395,127,-1048.331781427351,-1042.8768204630987,-1045.3557027466009,-1051.7255420929478,-1045.9209116380664,-1046.842151673613,2.994947879869028
0.01562676429748535,3.661413921442502e-06,0.0,0.0,2,50,"{'max_depth': 2, 'min_samples_leaf': 50}",-1041.3771542648915,-1066.4323315552801,-1047.0008220619675,-1029.4600261505318,-1053.1296069028913,-1047.4799881871124,12.274385725046395,127,-1048.331781427351,-1042.8768204630987,-1045.3557027466009,-1051.7255420929478,-1045.9209116380664,-1046.842151673613,2.994947879869028
