mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.016965675354003906,0.0026741968497520766,0.00312652587890625,0.0062530517578125,4,1,"{'max_depth': 4, 'min_samples_leaf': 1}",-676.3007178003377,-695.5031364123784,-693.2098998659252,-673.9358685647396,-677.0420554048413,-683.1983356096446,9.196844619910285,113,-682.6678117758313,-674.7684893477619,-676.237001930443,-683.0398760295716,-681.4655337089617,-679.6357425585139,3.4459046927073196
0.019496059417724608,0.006098747836136063,0.0,0.0,4,5,"{'max_depth': 4, 'min_samples_leaf': 5}",-676.3007178003377,-695.5031364123784,-693.2098998659252,-673.9358685647396,-677.0420554048413,-683.1983356096446,9.196844619910285,113,-682.6678117758313,-674.7684893477619,-676.237001930443,-683.0398760295716,-681.4655337089617,-679.6357425585139,3.4459046927073196
0.018885421752929687,0.00647388595018554,0.0031238555908203124,0.006247711181640625,4,10,"{'max_depth': 4, 'min_samples_leaf': 10}",-676.3007178003377,-695.5031364123784,-693.2098998659252,-673.9358685647396,-677.0420554048413,-683.1983356096446,9.196844619910285,113,-682.6678117758313,-674.7684893477619,-676.237001930443,-683.0398760295716,-681.4655337089617,-679.6357425585139,3.4459046927073196
0.017368268966674805,0.0034338138642593134,0.0,0.0,4,20,"{'max_depth': 4, 'min_samples_leaf': 20}",-676.3007178003377,-695.5031364123784,-693.2098998659252,-673.9358685647396,-677.0420554048413,-683.1983356096446,9.196844619910285,113,-682.6678117758313,-674.7684893477619,-676.237001930443,-683.0398760295716,-681.4655337089617,-679.6357425585139,3.4459046927073196
0.016873264312744142,0.0017635103132141328,0.0031238555908203124,0.006247711181640625,4,35,"{'max_depth': 4, 'min_samples_leaf': 35}",-676.3007178003377,-695.5031364123784,-693.2098998659252,-673.9358685647396,-677.0420554048413,-683.1983356096446,9.196844619910285,113,-682.6678117758313,-674.7684893477619,-676.237001930443,-683.0398760295716,-681.4655337089617,-679.6357425585139,3.4459046927073196
0.01680445671081543,0.0022744067285096446,0.002120637893676758,0.004241275787353516,4,50,"{'max_depth': 4, 'min_samples_leaf': 50}",-676.3007178003377,-695.5031364123784,-693.2098998659252,-673.9358685647396,-677.0420554048413,-683.1983356096446,9.196844619910285,113,-682.6678117758313,-674.7684893477619,-676.237001930443,-683.0398760295716,-681.4655337089617,-679.6357425585139,3.4459046927073196
0.01888246536254883,0.00618513691426849,0.0031195163726806642,0.0062390327453613285,4,100,"{'max_depth': 4, 'min_samples_leaf': 100}",-682.3465150176709,-707.3641727229954,-696.3845361821611,-680.1326941915597,-687.8759728228247,-690.8207781874423,9.99359254914699,119,-690.9213769174403,-681.2191411237362,-684.9106804889519,-690.8764154611838,-687.7253686464384,-687.1305965275502,3.704814746544211
0.018939876556396486,0.00481874991232845,0.003917169570922851,0.0059116398983547385,5,1,"{'max_depth': 5, 'min_samples_leaf': 1}",-588.419193530946,-594.820688062061,-598.2975801015768,-572.4622524569241,-588.5587401858496,-588.5116908674715,8.867494757744078,108,-587.8520863395552,-583.0446086806751,-582.9005682794366,-589.2284429659782,-585.9738010112039,-585.7999014553698,2.529599647521908
0.031246185302734375,4.659848281310097e-06,0.0031266212463378906,0.006253242492675781,5,5,"{'max_depth': 5, 'min_samples_leaf': 5}",-588.419193530946,-594.820688062061,-598.2975801015768,-572.4622524569241,-588.5587401858496,-588.5116908674715,8.867494757744078,108,-587.8520863395552,-583.0446086806751,-582.9005682794366,-589.2284429659782,-585.9738010112039,-585.7999014553698,2.529599647521908
0.02733888626098633,0.006055778160757803,0.0031297683715820314,0.006259536743164064,5,10,"{'max_depth': 5, 'min_samples_leaf': 10}",-588.5957659002755,-594.820688062061,-597.3210788855275,-572.4622524569241,-588.2048844730355,-588.2809339555648,8.658269932969333,107,-587.6110515101077,-583.0446086806751,-582.9396328839899,-589.2284429659782,-585.9267580857357,-585.7500988252973,2.4824031534103095
