mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.050942182540893555,0.009710826096344582,0.09518413543701172,0.01680552189654793,1,1,"{'n_neighbors': 1, 'p': 1}",-418.4317142504017,-391.82387838338894,-414.3066370040786,-418.15226795204546,-415.64256581386724,-411.67141268075636,10.04332857658223,52,-0.3789086639475961,-0.29455567914967246,-0.31510320108762824,-0.3039179335063651,-0.34158324063774564,-0.3268137436658015,0.030443246924826216
0.05461816787719727,0.007721593718372835,0.14325623512268065,0.0257188378820469,1,2,"{'n_neighbors': 1, 'p': 2}",-461.86725991842786,-440.2183908045977,-457.58620689655174,-461.80163144234336,-464.1965146459029,-457.1340007415647,8.722522242899776,91,-0.3789086639475961,-0.29455567914967246,-0.31510320108762824,-0.3039179335063651,-0.34158324063774564,-0.3268137436658015,0.030443246924826216
0.04508213996887207,0.002046256433382309,0.11521077156066895,0.0067912095293896834,2,1,"{'n_neighbors': 2, 'p': 1}",-381.1475713756025,-367.40353479174394,-381.2655419602027,-390.830737856878,-388.55419602026944,-381.8403164009393,8.186999231192265,17,-207.90093931528858,-209.18804844889382,-207.87543257940922,-207.73941725373874,-205.03307687554073,-207.54738289457424,1.3625721376813276
0.0449862003326416,0.0008995868766072612,0.14512910842895507,0.006997179977531908,2,2,"{'n_neighbors': 2, 'p': 2}",-419.888765294772,-408.03114571746386,-420.23433444568036,-430.8590409096527,-434.64905450500555,-422.7324681745149,9.364853596005805,65,-230.16975651958967,-231.61248609566184,-230.681822395254,-230.78216536892845,-227.2587597330367,-230.1009980224941,1.4945894637758708
0.04659523963928223,0.005918152051069328,0.14863038063049316,0.012722580323836944,3,1,"{'n_neighbors': 3, 'p': 1}",-371.5135335558027,-362.2969142668809,-368.65937461376836,-380.343056070531,-376.40683063486176,-371.84394182836894,6.236205102342952,9,-256.49930993284715,-257.7722160425164,-257.17522555926337,-254.1670065504882,-255.90070242656452,-256.30289210233593,1.239533952039568
0.046210193634033205,0.0021353410919428047,0.16997880935668946,0.0031592365725737585,3,2,"{'n_neighbors': 3, 'p': 2}",-412.3935236682734,-401.51312157541304,-407.1022947307708,-421.91064145346684,-419.80035430313524,-412.54398714621186,7.6381113905361655,55,-285.5555761545751,-286.0810777406995,-284.16526593334163,-284.42160013183377,-283.5070139661352,-284.746106785317,0.9397254694333045
0.04955224990844727,0.01369017651001199,0.2064302921295166,0.03322646211254894,4,1,"{'n_neighbors': 4, 'p': 1}",-366.99190458534173,-359.4407057224076,-364.8109627981708,-377.7986960820665,-377.19413545915216,-369.2472809294278,7.172388114645018,4,-281.0209105796564,-281.41398621925595,-281.62886231615374,-279.34600173031765,-280.3635134717587,-280.7546548634285,0.8254869897584124
0.04661979675292969,0.007723087827857209,0.21560397148132324,0.035569181415794786,4,2,"{'n_neighbors': 4, 'p': 2}",-407.1247682610308,-399.5441539982697,-404.71644419725624,-412.6892534915338,-418.5561117290817,-408.5261463354344,6.558742931764784,46,-312.38852583117045,-312.7115081572117,-311.79709708317887,-310.44332437275983,-311.65854035347917,-311.79979915956,0.7794610431575555
0.04523391723632812,0.004391569487962273,0.20337042808532715,0.04141368045171993,5,1,"{'n_neighbors': 5, 'p': 1}",-368.49704610060564,-357.79616858237546,-363.1105178593499,-374.31059201582,-376.7477196885428,-368.09240884933877,6.993936522323258,1,-296.1284946236559,-296.6053207267334,-296.3376653071314,-294.91129032258067,-295.4830737856878,-295.89316895315784,0.6152038719098455
0.04300251007080078,0.002007070046692955,0.22356514930725097,0.0170185284071165,5,2,"{'n_neighbors': 5, 'p': 2}",-400.07964404894324,-402.37411939191696,-403.4686688913608,-414.02976146335436,-418.0254356692621,-407.5955258929675,7.084700696164008,44,-329.1525027808676,-328.11627734519834,-327.3482140650105,-328.6310901001113,-327.0580150784822,-328.06121987393396,0.7789067887709104
0.046393537521362306,0.005748881653403124,0.22200675010681153,0.0475504263240114,6,1,"{'n_neighbors': 6, 'p': 1}",-368.1356239443003,-359.15012565401884,-362.8623367527706,-371.8441272195443,-379.7599802249413,-368.35043875911504,7.172094056653963,2,-307.48680117826393,-308.32916718164216,-307.4592551394553,-307.5102222634203,-306.71614551147366,-307.50031825485104,0.510663179618428
0.05038108825683594,0.009960966932489058,0.27681574821472166,0.07567967527039811,6,2,"{'n_neighbors': 6, 'p': 2}",-402.55794504181597,-402.09143904750135,-401.3970461006056,-413.1479009599143,-413.5863098916492,-406.5561282082973,5.5751227545062125,41,-341.0030486548841,-340.82469204465866,-339.9794885263461,-339.8640413216331,-339.9089729328884,-340.3160486960821,0.49274356227836097
0.04620571136474609,0.005592492303006399,0.22060089111328124,0.01393168123544721,7,1,"{'n_neighbors': 7, 'p': 1}",-370.0434345039461,-359.7587442837721,-364.0719670886523,-372.8106361565761,-381.0502674929817,-369.5470099051857,7.334969209757135,6,-316.23825414481695,-316.75809982873386,-315.4719662058372,-315.23507601038193,-315.05504793686106,-315.7516888253262,0.6449885254500404
0.04238185882568359,0.0008209472386954913,0.2724335193634033,0.0473733407767944,7,2,"{'n_neighbors': 7, 'p': 2}",-402.96209191871037,-402.65785617176056,-403.07230255839823,-415.02388897717043,-413.7965993961545,-407.5025478044388,5.655077507547712,42,-351.45897116725814,-349.4813328742695,-348.871175203489,-347.5424898917668,-349.1800236594452,-349.30679855924575,1.2634028509736064
0.04539012908935547,0.00584876087217432,0.22236790657043456,0.0128637816828174,8,1,"{'n_neighbors': 8, 'p': 1}",-370.46958039797306,-359.1743758497096,-362.15929736744533,-372.1867043628723,-380.90952910641454,-368.979897416883,7.713465066486814,3,-322.60648791867504,-323.2855139970337,-321.75701782845135,-321.8113490297862,-322.1815945186009,-322.3283926585094,0.5672338555997708
0.045247220993041994,0.004042236409409542,0.27361087799072265,0.012065903065015874,8,2,"{'n_neighbors': 8, 'p': 2}",-407.40810777406995,-404.33501730317636,-401.50040168088,-413.43639537758,-416.45165925101963,-408.6263162773452,5.5686765265262546,47,-358.54523544679273,-357.33636138919786,-356.65269666913855,-355.23343452601654,-357.04235415894203,-356.96201643801754,1.071153104606529
